image,row,col,x,y,brightness,brightness_pct,Power_uW
Analysis_image-Stitched_-9,1,19,3508,474,67.24,26.4,59.23826518
Analysis_image-Stitched_-9,1,20,3679,370,65.63,25.7,57.81985936
Analysis_image-Stitched_-9,1,21,3851,469,67.83,26.6,59.75805364
Analysis_image-Stitched_-9,1,22,4018,384,68.0,26.7,59.9078232
Analysis_image-Stitched_-9,1,23,4189,472,68.9,27.0,60.70072086
Analysis_image-Stitched_-9,1,24,4349,364,65.18,25.6,57.42341053
Analysis_image-Stitched_-9,2,1,285,628,63.21,24.8,55.68784565
Analysis_image-Stitched_-9,2,2,448,732,65.72,25.8,57.89914913
Analysis_image-Stitched_-9,2,3,622,641,68.58,26.9,60.41880169
Analysis_image-Stitched_-9,2,4,797,722,67.81,26.6,59.74043369
Analysis_image-Stitched_-9,2,5,962,618,68.16,26.7,60.04878278
Analysis_image-Stitched_-9,2,6,1130,712,68.25,26.8,60.12807255
Analysis_image-Stitched_-9,2,7,1302,611,69.25,27.2,61.00906995
Analysis_image-Stitched_-9,2,8,1470,705,69.77,27.4,61.4671886
Analysis_image-Stitched_-9,2,9,1641,620,68.71,26.9,60.53333135
Analysis_image-Stitched_-9,2,10,1810,699,69.48,27.2,61.21169935
Analysis_image-Stitched_-9,2,11,1985,604,70.24,27.5,61.88125738
Analysis_image-Stitched_-9,2,12,2152,690,66.65,26.1,58.71847671
Analysis_image-Stitched_-9,2,13,2492,688,68.52,26.9,60.36594185
Analysis_image-Stitched_-9,2,14,2663,584,69.93,27.4,61.60814818
Analysis_image-Stitched_-9,2,15,2833,684,70.67,27.7,62.26008626
Analysis_image-Stitched_-9,2,16,3001,598,70.48,27.6,62.09269675
Analysis_image-Stitched_-9,2,17,3176,684,71.01,27.8,62.55962537
Analysis_image-Stitched_-9,2,18,3345,582,70.51,27.7,62.11912667
Analysis_image-Stitched_-9,2,19,3510,670,70.81,27.8,62.38342589
Analysis_image-Stitched_-9,2,20,3682,571,71.66,28.1,63.13227368
Analysis_image-Stitched_-9,2,21,3855,661,71.66,28.1,63.13227368
Analysis_image-Stitched_-9,2,22,4033,580,71.87,28.2,63.31728314
Analysis_image-Stitched_-9,2,23,4194,664,70.46,27.6,62.0750768
Analysis_image-Stitched_-9,2,24,4360,552,69.58,27.3,61.29979909
Analysis_image-Stitched_-9,3,1,286,825,64.27,25.2,56.6217029
Analysis_image-Stitched_-9,3,2,459,925,65.64,25.7,57.82866934
Analysis_image-Stitched_-9,3,3,628,837,67.95,26.6,59.86377333
Analysis_image-Stitched_-9,3,4,799,917,68.95,27.0,60.74477073
Analysis_image-Stitched_-9,3,5,963,816,68.51,26.9,60.35713187
Analysis_image-Stitched_-9,3,6,1138,907,68.6,26.9,60.43642164
Analysis_image-Stitched_-9,3,7,1302,809,69.24,27.2,61.00025998
Analysis_image-Stitched_-9,3,8,1474,909,68.73,27.0,60.5509513
Analysis_image-Stitched_-9,3,9,1642,816,69.22,27.1,60.98264003
Analysis_image-Stitched_-9,3,10,1815,899,70.11,27.5,61.76672771
Analysis_image-Stitched_-9,3,11,1983,794,68.45,26.8,60.30427203
Analysis_image-Stitched_-9,3,12,2160,891,69.07,27.1,60.85049042
Analysis_image-Stitched_-9,3,13,2496,884,69.78,27.4,61.47599857
Analysis_image-Stitched_-9,3,14,2664,784,69.04,27.1,60.8240605
