image,row,col,x,y,brightness,brightness_pct,Power_uW
Analysis_image-Stitched_-9,1,1,280,432,58.75,23.0,51.75859725
Analysis_image-Stitched_-9,1,2,445,533,62.92,24.7,55.43235641
Analysis_image-Stitched_-9,1,3,614,445,63.44,24.9,55.89047506
Analysis_image-Stitched_-9,1,4,789,528,64.78,25.4,57.07101157
Analysis_image-Stitched_-9,1,5,962,420,62.35,24.5,54.93018789
Analysis_image-Stitched_-9,1,6,1128,518,64.87,25.4,57.15030134
Analysis_image-Stitched_-9,1,7,1298,413,64.51,25.3,56.83314227
Analysis_image-Stitched_-9,1,8,1464,517,67.34,26.4,59.32636492
Analysis_image-Stitched_-9,1,9,1640,424,66.94,26.3,58.97396596
Analysis_image-Stitched_-9,1,10,1809,508,67.71,26.6,59.65233395
Analysis_image-Stitched_-9,1,11,1977,406,66.76,26.2,58.81538642
Analysis_image-Stitched_-9,1,12,2149,499,65.56,25.7,57.75818954
Analysis_image-Stitched_-9,1,13,2487,492,65.14,25.5,57.38817064
Analysis_image-Stitched_-9,1,14,2654,396,67.07,26.3,59.08849562
Analysis_image-Stitched_-9,1,15,2833,485,66.91,26.2,58.94753603
Analysis_image-Stitched_-9,1,16,3001,402,67.46,26.5,59.4320846
Analysis_image-Stitched_-9,1,17,3165,482,67.27,26.4,59.2646951
Analysis_image-Stitched_-9,1,18,3337,381,65.33,25.6,57.55556014
